cid,tid,coachName,startDate
1,6,J. B. Bickerstaff,"February 19, 2020"
2,25,Chauncey Billups,"June 27, 2021"
3,26,Mike Brown,"May 9, 2022"
4,17,Mike Budenholzer,"May 17, 2018"
5,12,Rick Carlisle,"June 24, 2021"
6,9,Dwane Casey,"June 11, 2018"
7,4,Steve Clifford,"June 24, 2022"
8,21,Mark Daigneault,"November 11, 2020"
9,5,Billy Donovan,"September 22, 2020"
10,18,Chris Finch,"February 22, 2021"
11,19,Willie Green,"July 22, 2021"
12,14,Darvin Ham,"June 3, 2022"
13,29,Will Hardy,"June 29, 2022"
14,15,Taylor Jenkins,"June 11, 2019"
15,10,Steve Kerr,"May 19, 2014"
16,7,Jason Kidd,"June 28, 2021"
17,13,Tyronn Lue,"October 20, 2020"
18,8,Michael Malone,"June 15, 2015"
19,1,Nate McMillan,"March 1, 2021"
20,22,Jamahl Mosley,"July 11, 2021"
21,28,Nick Nurse,"June 14, 2018"
22,27,Gregg Popovich,"December 10, 1996"
23,23,Doc Rivers,"October 3, 2020"
24,11,Stephen Silas,"October 30, 2020"
25,16,Erik Spoelstra,"April 28, 2008"
26,20,Tom Thibodeau,"July 30, 2020"
27,2,Ime Udoka,"June 28, 2021"
28,30,Wes Unseld Jr.,"July 17, 2021"
29,3,Jacque Vaughn,"November 1, 2022"
30,24,Monty Williams,"May 3, 2019"